$M$	training_error			validation_error
0	0.5201122363344061		0.6110146395929855
1	0.43964188447651165		0.535424084259008
2	0.4394652414421542		0.536733362125242
3	0.4391787138011748		0.5319587930886094
4	0.3825648436890513		0.595438430761644
5	0.06963627001271834		0.2660364124955042
6	0.06954009795213771		0.26695432746209075
7	0.008517383401040548	0.16060941834056727
8	0.005845212432320224	0.17961847258518052
9	5.197575747112509e-8	0.4183415258492314
9   0.4946484481253838      0.5903023342805958
9   0.00563542969939257     0.17435406796780803
