n	test_error
50	0.04937458854509546
100	0.04937458854509546
150	0.048716260697827515
200	0.042791310072416065
250	0.04213298222514812
300	0.042791310072416065
350	0.04081632653061224
400	0.04476629361421988
450	0.04213298222514812
500	0.04213298222514812
550	0.04081632653061224
600	0.03949967083607637
650	0.03949967083607637
700	0.03818301514154049
750	0.03620803159973667
800	0.04081632653061224
850	0.038841342988808425
900	0.037524687294272545
950	0.04081632653061224
1000	0.03686635944700461
1050	0.037524687294272545
1100	0.03949967083607637
1150	0.03949967083607637
1200	0.038841342988808425
1250	0.03620803159973667
1300	0.037524687294272545
1350	0.04081632653061224
1400	0.03949967083607637
1450	0.040157998683344305
1500	0.03818301514154049
1550	0.037524687294272545
1600	0.03949967083607637
1650	0.04081632653061224
1700	0.041474654377880185
1750	0.04081632653061224
1800	0.03949967083607637
1850	0.040157998683344305
1900	0.04081632653061224
1950	0.04081632653061224
2000	0.03949967083607637
2050	0.040157998683344305
2100	0.04213298222514812
2150	0.04213298222514812
2200	0.04213298222514812
2250	0.04081632653061224
2300	0.04213298222514812
2350	0.044107965766951945
2400	0.043449637919684
2450	0.043449637919684
2500	0.04542462146148782
