n	test_error
50	0.07373271889400922
100	0.07109940750493746
150	0.07241606319947334
200	0.06780776826859776
250	0.065174456879526
300	0.06451612903225806
350	0.065174456879526
400	0.05924950625411455
450	0.061224489795918366
500	0.06385780118499013
550	0.06583278472679395
600	0.06714944042132982
650	0.06451612903225806
700	0.06451612903225806
750	0.06319947333772219
800	0.06451612903225806
850	0.06319947333772219
900	0.06385780118499013
950	0.06319947333772219
1000	0.06319947333772219
1050	0.06385780118499013
1100	0.061224489795918366
1150	0.061224489795918366
1200	0.06188281764318631
1250	0.06254114549045425
1300	0.06451612903225806
1350	0.06451612903225806
1400	0.06254114549045425
1450	0.06385780118499013
1500	0.06188281764318631
1550	0.06188281764318631
1600	0.06319947333772219
1650	0.06385780118499013
1700	0.065174456879526
1750	0.065174456879526
1800	0.06254114549045425
1850	0.06385780118499013
1900	0.06451612903225806
1950	0.06583278472679395
2000	0.06583278472679395
2050	0.065174456879526
2100	0.065174456879526
2150	0.06451612903225806
2200	0.06649111257406189
2250	0.06319947333772219
2300	0.065174456879526
2350	0.06385780118499013
2400	0.06254114549045425
2450	0.06451612903225806
2500	0.06451612903225806
